Country ,Total cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Deaths/1M pop,Total Tests,Test/1M Pop,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",Preparedness,INDEX
Burkina Faso,528,30,177,321,,1,,,21.7,37,15.3
Albania,494,25,251,218,5,9,"4,558","1,584",17,8,-9
Uruguay,492,8,260,224,14,2,"9,929","2,858",16.7,100,83.3
Kyrgyzstan,449,5,78,366,5,0.8,"26,147","4,008",No data,No data,#VALUE!
Channel Islands,447,15,69,363,,86,"3,320","19,095",No data,No data,#VALUE!
Djibouti,435,2,71,362,,2,"5,936","6,008",No data,No data,#VALUE!
Honduras,419,31,9,379,10,3,"1,600",162,14,43,29
Guinea,404,1,31,372,,0.08,,,22.4,83,60.6
Jordan,401,7,250,144,5,0.7,"20,500","2,009",19.2,55,35.8
Malta,399,3,44,352,4,7,"20,139","45,611",10.8,50,39.2
Bolivia,397,28,7,362,3,2,"2,185",187,17.2,80,62.8
Taiwan,395,6,137,252,,0.3,"49,748","2,089",No data,No data,#VALUE!
Réunion,391,,237,154,3,,,,No data,No data,#VALUE!
Nigeria,373,11,99,263,2,0.05,"5,000",24,22.5,33,10.5
San Marino,372,36,53,283,15,"1,061",846,"24,933",No data,25,#VALUE!
Mauritius,324,9,65,250,3,7,"8,279","6,510",18.1,80,61.9
Senegal,314,2,190,122,1,0.1,,,18.1,35,16.9
Palestine,308,2,62,244,,0.4,"17,329","3,397",No data,No data,#VALUE!
Georgia,306,3,71,232,6,0.8,"5,027","1,260",24.9,83,58.1
Montenegro,288,4,55,229,7,6,"3,874","6,168",20.6,65,44.4
Vietnam,267,,171,96,8,,"135,938","1,397",17.1,100,82.9
Isle of Man,256,4,151,101,13,47,"2,175","25,578",No data,No data,#VALUE!
DRC,254,21,21,212,,0.2,,,19.4,60,40.6
Sri Lanka,238,7,63,168,1,0.3,"4,768",223,17.4,45,27.6
Kenya,225,10,53,162,2,0.2,"9,630",179,13.4,55,41.6
Mayotte,217,3,69,145,3,11,"1,500","5,498",No data,No data,#VALUE!
Venezuela,197,9,111,77,6,0.3,"225,009","7,913",18.1,100,81.9
Faeroe Islands,184,,166,18,,,"5,677","116,182",No data,No data,#VALUE!
Guatemala,180,5,19,156,3,0.3,"1,134",63,No data,No data,#VALUE!
Paraguay,161,8,23,130,1,1,"3,888",545,17.5,43,25.5
El Salvador,159,6,30,123,2,0.9,"7,785","1,200",14,72,58
Martinique,158,8,73,77,17,21,,,No data,No data,#VALUE!
Mali,148,13,34,101,,0.6,,,24.6,17,-7.6
Guadeloupe,145,8,67,70,13,20,,,No data,No data,#VALUE!
Brunei,136,1,108,27,2,2,"10,579","24,182",No data,No data,#VALUE!
Rwanda,136,,54,82,,,"6,237",482,No data,70,#VALUE!
Gibraltar,131,,104,27,1,,"1,649","48,945",No data,No data,#VALUE!
Cambodia,122,,96,26,1,,"5,768",345,21.1,35,13.9
Congo,117,5,11,101,,0.9,,,16.7,18,1.3
Trinidad and Tobago,114,8,19,87,,6,"1,282",916,21.3,100,78.7
Madagascar,110,,29,81,1,,,,22.9,55,32.1
Jamaica,105,5,21,79,,2,"1,290",436,No data,No data,#VALUE!
Monaco,93,3,12,78,2,76,,,No data,92,#VALUE!
Aruba,93,1,39,53,1,9,"1,198","11,221",No data,No data,#VALUE!
Tanzania,88,4,11,73,,0.07,,,No data,No data,#VALUE!
French Guiana,86,,51,35,1,,,,No data,No data,#VALUE!
Ethiopia,85,3,15,67,,0.03,"4,988",43,18.3,90,71.7
Togo,81,3,35,43,,0.4,"3,036",367,23.6,53,29.4
Somalia,80,5,2,73,2,0.3,,,21.8,0,-21.8
Gabon,80,1,4,75,,0.4,,,14.4,25,10.6
Liechtenstein,79,1,55,23,,26,900,"23,605",No data,No data,#VALUE!
Myanmar,74,4,2,68,,0.07,"2,836",52,No data,No data,#VALUE!
Barbados,73,5,15,53,4,17,864,"3,007",16.2,100,83.8
Liberia,59,6,4,49,,1,,,17.6,90,72.4
Bermuda,57,5,30,22,3,80,416,"6,680",No data,No data,#VALUE!
Cabo Verde,56,1,1,54,,2,,,17.2,100,82.8
French Polynesia,55,,,55,1,,920,"3,275",No data,No data,#VALUE!
Uganda,55,,12,43,,,"6,661",146,21.9,82,60.1
Cayman Islands,54,1,6,47,3,15,580,"8,825",No data,No data,#VALUE!
Sint Maarten,53,9,5,39,2,210,157,"3,662",No data,No data,#VALUE!
Equatorial Guinea,51,,4,47,,,854,609,22,8,-14
Bahamas,49,8,6,35,1,20,,,15.5,62,46.5
Guyana,48,6,8,34,5,8,213,271,30.5,100,69.5
Zambia,48,2,30,16,1,0.1,"1,696",92,17.9,73,55.1
Macao,45,,15,30,1,,,,No data,No data,#VALUE!
Guinea-Bissau,43,,,43,,,"1,500",762,20,43,23
Haiti,41,3,,38,,0.3,365,32,26.5,73,46.5
Saint Martin,35,2,13,20,5,52,,,No data,No data,#VALUE!
Benin,35,1,18,16,,0.08,,,19.6,27,7.4
Libya,35,1,9,25,,0.1,570,83,20.1,43,22.9
Eritrea,35,,,35,,,,,23.9,25,1.1
Syria,33,2,5,26,,0.1,,,21.8,37,15.2
Sudan,32,5,4,23,,0.1,,,26,70,44
Mongolia,30,,5,25,,,"1,000",305,30.2,80,49.8
Mozambique,29,,2,27,,,793,25,18.4,80,61.6
Antigua and Barbuda,23,2,3,18,1,20,73,745,22.6,55,32.4
Chad,23,,2,21,,,,,23.9,27,3.1
Maldives,22,,16,6,,,"2,899","5,363",No data,No data,#VALUE!
Angola,19,2,5,12,,0.06,,,16.5,90,73.5
Laos,19,,1,18,,,"1,235",170,No data,No data,#VALUE!
Zimbabwe,18,3,1,14,,0.2,665,45,19.3,53,33.7
Belize,18,2,,16,1,5,567,"1,426",No data,No data,#VALUE!
New Caledonia,18,,1,17,,,"2,608","9,135",No data,No data,#VALUE!
Malawi,16,2,,14,1,0.1,343,18,16.4,63,46.6
Nepal,16,,1,15,,,"6,299",216,21.8,20,-1.8
Dominica,16,,8,8,,,345,"4,793",No data,60,#VALUE!
Fiji,16,,,16,,,,,No data,No data,#VALUE!
Namibia,16,,3,13,,,362,142,21.3,43,21.7
Saint Lucia,15,,11,4,,,319,"1,737",No data,No data,#VALUE!
Eswatini,15,,8,7,,,714,615,No data,No data,#VALUE!
Curaçao,14,1,10,3,,6,230,"1,402",No data,No data,#VALUE!
Grenada,14,,,14,2,,92,818,No data,No data,#VALUE!
Saint Kitts and Nevis,14,,,14,,,234,"4,399",No data,No data,#VALUE!
Botswana,13,1,,12,,0.4,"3,441","1,463",20.3,27,6.7
Sierra Leone,13,,,13,,,,,30.5,60,29.5
CAR,12,,4,8,,,,,23.1,45,21.9
St. Vincent Grenadines,12,,1,11,,,87,784,No data,No data,#VALUE!
Falkland Islands,11,,1,10,,,137,"39,368",No data,No data,#VALUE!
Greenland,11,,11,0,,,912,"16,065",No data,No data,#VALUE!
Montserrat,11,,1,10,1,,36,"7,212",No data,No data,#VALUE!
Seychelles,11,,,11,,,,,21.2,90,68.8
Suriname,10,1,6,3,,2,,,21.7,70,48.3
Turks and Caicos,10,1,,9,,26,71,"1,834",No data,No data,#VALUE!
MS Zaandam,9,2,,7,,,,,No data,No data,#VALUE!
Gambia,9,1,2,6,,0.4,281,116,20.8,25,4.2
Nicaragua,9,1,4,4,,0.2,,,14.2,100,85.8
Vatican City,8,,2,6,,,,,No data,No data,#VALUE!
Timor-Leste,8,,1,7,,,,,19.9,80,60.1
Mauritania,7,1,2,4,,0.2,593,128,22.6,47,24.4
St. Barth,6,,4,2,,,,,No data,No data,#VALUE!
Western Sahara,6,,,6,,,,,No data,No data,#VALUE!
Burundi,5,1,,4,,0.08,,,No data,No data,#VALUE!
Bhutan,5,,2,3,,,"1,166","1,511",No data,No data,#VALUE!
Sao Tome and Principe,4,,,4,,,19,87,No data,No data,#VALUE!
South Sudan,4,,,4,,,,,No data,No data,#VALUE!
Anguilla,3,,1,2,,,,,No data,No data,#VALUE!
British Virgin Islands,3,,2,1,,,,,No data,No data,#VALUE!
Caribbean Netherlands,3,,,3,,,10,381,No data,No data,#VALUE!
Papua New Guinea,2,,,2,,,72,8,No data,No data,#VALUE!
Saint Pierre Miquelon,1,,,1,,,,,No data,No data,#VALUE!
Yemen,1,,,1,,,,,No data,No data,#VALUE!
Total:,"2,073,394","134,007","508,861","1,430,526","51,134",17.2,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Highlighted in green= all cases have recovered from the infection,,,,,,,,,,,
,,,,,,,,,,,
Highlighted in grey= all cases have had an outcome (there are no active cases),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
